,Timestamp,LineId,JourneyPattern,Timeframe,VehicleJourney,Longitude,Latitude,StopId,AtStop,Date
1335280,1359353766000000,15.0,00151001,2013-01-28,4964,-6.269019,53.319248,1168.0,0,2013-01-28 06:16:06
1335299,1359353786000000,15.0,00151001,2013-01-28,4964,-6.268483,53.320004,1169.0,1,2013-01-28 06:16:26
1335315,1359353804000000,15.0,00151001,2013-01-28,4964,-6.267795,53.32103000000001,1169.0,0,2013-01-28 06:16:44
1335344,1359353825000000,15.0,00151001,2013-01-28,4964,-6.266854,53.32154499999999,1169.0,0,2013-01-28 06:17:05
1335367,1359353845000000,15.0,00151001,2013-01-28,4964,-6.2662,53.321724,1170.0,0,2013-01-28 06:17:25
1335378,1359353864000000,15.0,00151001,2013-01-28,4964,-6.265537,53.323174,1170.0,0,2013-01-28 06:17:44
1335414,1359353886000000,15.0,00151001,2013-01-28,4964,-6.265523,53.323273,1069.0,1,2013-01-28 06:18:06
1335432,1359353904000000,15.0,00151001,2013-01-28,4964,-6.2652980000000005,53.324596,1069.0,0,2013-01-28 06:18:24
1335452,1359353925000000,15.0,00151001,2013-01-28,4964,-6.2653370000000015,53.32496999999999,1070.0,1,2013-01-28 06:18:45
1335485,1359353944000000,15.0,00151001,2013-01-28,4964,-6.265028,53.32601500000001,1070.0,0,2013-01-28 06:19:04
1335504,1359353966000000,15.0,00151001,2013-01-28,4964,-6.264799,53.327282,1071.0,1,2013-01-28 06:19:26
1335522,1359353984000000,15.0,00151001,2013-01-28,4964,-6.264623,53.328297,1071.0,0,2013-01-28 06:19:44
1335552,1359354005000000,15.0,00151001,2013-01-28,4964,-6.264526,53.32885400000001,4528.0,1,2013-01-28 06:20:05
1335576,1359354025000000,15.0,00151001,2013-01-28,4964,-6.264429,53.329426,4528.0,0,2013-01-28 06:20:25
1335588,1359354044000000,15.0,00151001,2013-01-28,4964,-6.264401,53.32959,4528.0,0,2013-01-28 06:20:44
1335624,1359354064000000,15.0,00151001,2013-01-28,4964,-6.264438,53.330803,4528.0,0,2013-01-28 06:21:04
1335650,1359354087000000,15.0,00151001,2013-01-28,4964,-6.264513,53.331074,1072.0,0,2013-01-28 06:21:27
1335666,1359354105000000,15.0,00151001,2013-01-28,4964,-6.264876,53.332626,1072.0,0,2013-01-28 06:21:45
1335698,1359354124000000,15.0,00151001,2013-01-28,4964,-6.26505,53.33336600000001,1072.0,0,2013-01-28 06:22:04
1335726,1359354145000000,15.0,00151001,2013-01-28,4964,-6.264649,53.33365600000001,1072.0,0,2013-01-28 06:22:25
1335738,1359354165000000,15.0,00151001,2013-01-28,4964,-6.263947,53.33371,1074.0,1,2013-01-28 06:22:45
1335799,1359354204000000,15.0,00151001,2013-01-28,4964,-6.259874,53.333916,1074.0,0,2013-01-28 06:23:24
1335816,1359354224000000,15.0,00151001,2013-01-28,4964,-6.258236,53.334534,1074.0,0,2013-01-28 06:23:44
1335847,1359354244000000,15.0,00151001,2013-01-28,4964,-6.257436,53.335823,6074.0,1,2013-01-28 06:24:04
1335866,1359354265000000,15.0,00151001,2013-01-28,4964,-6.256805,53.336792,6074.0,0,2013-01-28 06:24:25
1335890,1359354287000000,15.0,00151001,2013-01-28,4964,-6.255802,53.338619,6074.0,0,2013-01-28 06:24:47
1335922,1359354306000000,15.0,00151001,2013-01-28,4964,-6.257496,53.339115,790.0,1,2013-01-28 06:25:06
1335949,1359354328000000,15.0,00151001,2013-01-28,4964,-6.258652,53.339443,790.0,0,2013-01-28 06:25:28
1335995,1359354365000000,15.0,00151001,2013-01-28,4964,-6.258092,53.342087,792.0,1,2013-01-28 06:26:05
1336040,1359354407000000,15.0,00151001,2013-01-28,4964,-6.257852,53.342865,792.0,0,2013-01-28 06:26:47
1336074,1359354426000000,15.0,00151001,2013-01-28,4964,-6.2588370000000015,53.343163,792.0,0,2013-01-28 06:27:06
